,name,category,github_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,updated_github_id,trending,gitlab_id
0,Dogecoin,blockchain,dogecoin/dogecoin,['PoW'],https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,MIT,2013-12-06 11:38:05,2021-07-07 19:56:13,2021-05-18 22:12:42,2061.0,173.0,786.0,12254.0,13537.0,2021-02-28 21:14:19,1.14.3,8219130.0,90320.0,36.0,very currency.,554.0,29,True,1.0,,,,,
1,Ethereum,blockchain,ethereum/go-ethereum,"['PoW', 'PoS']",https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,LGPL-3.0,2013-12-26 13:05:46,2021-07-08 10:43:36,2021-07-08 09:34:56,10538.0,209.0,5472.0,31338.0,12729.0,2021-06-17 10:37:35,1.10.4,98170.0,1583.0,100.0,Official Go implementation of the Ethereum protocol.,612.0,27,True,1.0,,,,,
2,EOS,blockchain,EOSIO/eos,['dPoS'],https://github.com/EOSIO/eos,https://github.com/EOSIO/eos,MIT,2017-04-05 17:09:53,2021-07-08 18:05:03,2021-05-20 04:18:44,3341.0,252.0,4713.0,11236.0,20547.0,2021-05-20 13:46:17,2.1.0,71682.0,1937.0,100.0,An open source smart contract platform.,278.0,27,True,1.0,,,,,
3,Dash,blockchain,dashpay/dash,['PoW'],https://github.com/dashpay/dash,https://github.com/dashpay/dash,MIT,2014-05-01 17:45:34,2021-07-08 17:18:36,2021-06-05 19:11:48,1084.0,71.0,507.0,1392.0,19080.0,2021-06-07 18:07:45,0.17.0.3,85568917.0,1043523.0,48.0,Dash - Reinventing Cryptocurrency.,505.0,27,True,1.0,,,,,
4,Bitcoin,blockchain,bitcoin/bitcoin,['PoW'],https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,MIT,2010-12-19 15:16:43,2021-07-08 16:12:35,2021-07-08 15:43:14,20329.0,581.0,5734.0,55506.0,29782.0,2021-05-03 01:33:04,0.21.1,,,35.0,Bitcoin Core integration/staging tree.,978.0,25,True,2.0,,,,,
5,Chainlink,blockchain,smartcontractkit/chainlink,[],https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,MIT,2017-11-20 19:50:46,2021-07-08 14:51:10,2021-07-08 10:01:37,535.0,39.0,174.0,2065.0,15292.0,2021-07-06 15:00:51,0.10.9,,,48.0,"node of the decentralized oracle network, bridging on and off-chain computation.",92.0,25,True,2.0,232.0,232.0,,,
6,Solana,blockchain,solana-labs/solana,['PoS'],https://github.com/solana-labs/solana,https://github.com/solana-labs/solana,,2018-02-14 04:26:27,2021-07-08 17:44:49,2021-07-08 17:43:34,530.0,459.0,2542.0,2715.0,14897.0,2021-07-02 17:58:23,1.6.16,124996.0,11363.0,100.0,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",183.0,24,False,2.0,,,,,
7,TRON,blockchain,tronprotocol/java-tron,['dPoS'],https://github.com/tronprotocol/java-tron,https://github.com/tronprotocol/java-tron,LGPL-3.0,2017-12-26 10:20:38,2021-07-08 08:36:21,2021-07-06 10:32:06,861.0,7.0,854.0,2722.0,15591.0,2021-06-25 09:01:45,GreatVoyage-v4.2.2.1,65220.0,1516.0,58.0,Java implementation of the Tron whitepaper.,222.0,23,True,3.0,,,,,
8,Binance chain,blockchain,binance-chain/bsc,['PoS'],https://github.com/binance-chain/bsc,https://github.com/binance-chain/bsc,LGPL-3.0,2020-05-21 06:44:14,2021-06-28 09:16:51,2021-06-10 07:42:55,206.0,109.0,117.0,560.0,12713.0,2021-05-10 09:27:08,1.1.0-beta,28760.0,2054.0,16.0,A Binance Smart Chain client based on the go-ethereum fork.,599.0,23,True,3.0,,,,,
9,Monero,blockchain,monero-project/monero,['PoW'],https://github.com/monero-project/monero,https://github.com/monero-project/monero,,2014-04-30 14:38:28,2021-07-08 16:42:21,2021-06-24 19:35:30,2131.0,461.0,1983.0,6015.0,10439.0,2021-04-11 13:20:56,0.17.2.0,29186.0,442.0,39.0,"Monero: the secure, private, untraceable cryptocurrency.",347.0,22,False,3.0,,,,,
10,Litecoin,blockchain,litecoin-project/litecoin,['PoW'],https://github.com/litecoin-project/litecoin,https://github.com/litecoin-project/litecoin,MIT,2012-06-13 04:18:26,2021-07-03 04:40:30,2021-06-10 08:07:14,2688.0,57.0,374.0,3901.0,19975.0,2020-06-11 19:52:19,0.18.1,,,12.0,Litecoin source tree.,756.0,22,True,3.0,,,,,
11,Zcash,blockchain,zcash/zcash,['PoW'],https://github.com/zcash/zcash,https://github.com/zcash/zcash,,2014-11-22 03:13:10,2021-07-06 17:08:56,2021-07-01 12:37:17,1173.0,891.0,2267.0,4425.0,15151.0,2021-06-10 02:08:47,4.4.1,222.0,4.0,48.0,Zcash - Internet Money.,574.0,21,False,3.0,,,,,
12,Polkadot,blockchain,paritytech/polkadot,['PoS'],https://github.com/paritytech/polkadot,https://github.com/paritytech/polkadot,GPL-3.0,2018-08-09 10:57:23,2021-07-08 18:05:06,2021-07-08 16:30:12,737.0,267.0,698.0,3758.0,2172.0,2021-07-07 18:18:46,0.9.8,31368.0,1011.0,93.0,Polkadot Node Implementation.,128.0,21,True,3.0,,,,,
13,Cardano,blockchain,input-output-hk/cardano-node,['PoS'],https://github.com/input-output-hk/cardano-node,https://github.com/input-output-hk/cardano-node,Apache-2.0,2019-05-23 20:12:22,2021-07-08 14:26:00,2021-07-08 13:39:33,296.0,232.0,616.0,1704.0,4625.0,2021-05-13 09:11:31,1.27.0,,,30.0,The core component that is used to participate in a Cardano decentralised blockchain.,84.0,20,True,3.0,,,,,
14,Stellar,blockchain,stellar/stellar-core,['PoS'],https://github.com/stellar/stellar-core,https://github.com/stellar/stellar-core,,2014-11-24 17:11:12,2021-07-08 17:03:44,2021-07-07 18:50:40,808.0,208.0,1049.0,2758.0,7134.0,2021-06-29 22:05:42,17.2.0,,,100.0,stellar-core is the reference implementation for the peer to peer agent that manages the Stellar network.,94.0,18,False,3.0,,,,,
15,Pancake swap,smart-contract,pancakeswap/pancake-swap-core,[],https://github.com/pancakeswap/pancake-swap-core,https://github.com/pancakeswap/pancake-swap-core,GPL-3.0,2020-09-14 06:01:21,2021-06-12 06:59:52,2020-09-27 07:36:36,362.0,9.0,4.0,132.0,259.0,,,,,,Core smart contracts.,9.0,16,True,1.0,518.0,518.0,,,
16,Compound,smart-contract,compound-finance/compound-protocol,[],https://github.com/compound-finance/compound-protocol,https://github.com/compound-finance/compound-protocol,BSD-3-Clause,2019-08-02 22:37:25,2021-07-03 00:15:07,2021-04-12 17:36:46,480.0,17.0,17.0,797.0,56.0,2020-06-27 16:22:17,2.8.1,184.0,9.0,10.0,The Compound On-Chain Protocol.,14.0,15,True,2.0,,,,,
17,Terra,blockchain,terra-project/core,['dPoS'],https://github.com/terra-money/core,https://github.com/terra-money/core,,2018-11-18 17:11:47,2021-07-08 07:02:27,2021-07-07 01:43:32,67.0,1.0,169.0,291.0,819.0,2021-04-14 00:36:09,0.4.6,2286.0,84.0,41.0,GO implementation of the Terra Protocol.,19.0,15,False,3.0,,,terra-money/core,,
