,name,category,github_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,updated_github_id,trending,gitlab_id
0,Dogecoin,blockchain,dogecoin/dogecoin,['PoW'],https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,MIT,2013-12-06 11:38:05,2021-07-15 17:49:05,2021-05-18 22:12:42,2067.0,168.0,793.0,12288.0,13537.0,2021-02-28 21:14:19,1.14.3,8227816.0,90415.0,36.0,very currency.,554.0,29,True,1.0,,,,,
1,Ethereum,blockchain,ethereum/go-ethereum,"['PoW', 'PoS']",https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,LGPL-3.0,2013-12-26 13:05:46,2021-07-15 16:30:31,2021-07-15 08:15:08,10577.0,211.0,5486.0,31425.0,12741.0,2021-07-14 08:06:08,1.10.5,95569.0,1541.0,100.0,Official Go implementation of the Ethereum protocol.,613.0,27,True,1.0,,,,,
2,EOS,blockchain,EOSIO/eos,['dPoS'],https://github.com/EOSIO/eos,https://github.com/EOSIO/eos,MIT,2017-04-05 17:09:53,2021-07-15 17:33:14,2021-05-20 04:18:44,3343.0,254.0,4714.0,11230.0,20547.0,2021-05-20 13:46:17,2.1.0,72236.0,1952.0,100.0,An open source smart contract platform.,279.0,27,True,1.0,,,,,
3,Dash,blockchain,dashpay/dash,['PoW'],https://github.com/dashpay/dash,https://github.com/dashpay/dash,MIT,2014-05-01 17:45:34,2021-07-15 17:57:35,2021-06-05 19:11:48,1086.0,62.0,517.0,1391.0,19080.0,2021-06-07 18:07:45,0.17.0.3,85587813.0,1043753.0,48.0,Dash - Reinventing Cryptocurrency.,505.0,27,True,1.0,,,,,
4,Bitcoin,blockchain,bitcoin/bitcoin,['PoW'],https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,MIT,2010-12-19 15:16:43,2021-07-15 17:10:01,2021-07-15 14:53:34,20372.0,591.0,5738.0,55614.0,29851.0,2021-05-03 01:33:04,0.21.1,,,35.0,Bitcoin Core integration/staging tree.,978.0,25,True,2.0,,,,,
5,Chainlink,blockchain,smartcontractkit/chainlink,[],https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,MIT,2017-11-20 19:50:46,2021-07-15 17:19:22,2021-07-15 17:06:09,538.0,40.0,176.0,2077.0,15292.0,2021-07-06 15:00:51,0.10.9,,,48.0,"node of the decentralized oracle network, bridging on and off-chain computation.",93.0,25,True,2.0,238.0,238.0,,,
6,Solana,blockchain,solana-labs/solana,['PoS'],https://github.com/solana-labs/solana,https://github.com/solana-labs/solana,,2018-02-14 04:26:27,2021-07-15 17:50:14,2021-07-15 17:49:59,540.0,467.0,2549.0,2747.0,15008.0,2021-07-02 17:58:23,1.6.16,128299.0,11663.0,100.0,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",184.0,24,False,2.0,,,,,
7,TRON,blockchain,tronprotocol/java-tron,['dPoS'],https://github.com/tronprotocol/java-tron,https://github.com/tronprotocol/java-tron,LGPL-3.0,2017-12-26 10:20:38,2021-07-15 14:45:15,2021-07-15 03:23:13,863.0,7.0,857.0,2726.0,15591.0,2021-06-25 09:01:45,GreatVoyage-v4.2.2.1,65572.0,1524.0,58.0,Java implementation of the Tron whitepaper.,222.0,23,True,3.0,,,,,
8,Binance chain,blockchain,binance-chain/bsc,['PoS'],https://github.com/binance-chain/bsc,https://github.com/binance-chain/bsc,LGPL-3.0,2020-05-21 06:44:14,2021-07-15 06:53:56,2021-06-10 07:42:55,213.0,106.0,123.0,573.0,12713.0,2021-05-10 09:27:08,1.1.0-beta,30071.0,2147.0,16.0,A Binance Smart Chain client based on the go-ethereum fork.,600.0,23,True,3.0,,,,,
9,Monero,blockchain,monero-project/monero,['PoW'],https://github.com/monero-project/monero,https://github.com/monero-project/monero,,2014-04-30 14:38:28,2021-07-15 17:27:52,2021-07-10 22:01:35,2133.0,464.0,1984.0,6026.0,10451.0,2021-04-11 13:20:56,0.17.2.0,29308.0,444.0,39.0,"Monero: the secure, private, untraceable cryptocurrency.",349.0,22,False,3.0,,,,,
