,name,category,github_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,gitlab_id
0,Dogecoin,blockchain,dogecoin/dogecoin,['PoW'],https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,MIT,2013-12-06 11:38:05,2021-05-27 10:22:04,2021-05-18 22:12:42,1891.0,144.0,743.0,11537.0,13537.0,2021-02-28 21:14:19,1.14.3,8109408.0,91116.0,36.0,very currency.,553.0,29,True,1.0,,,
1,Ethereum,blockchain,ethereum/go-ethereum,"['PoW', 'PoS']",https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,LGPL-3.0,2013-12-26 13:05:46,2021-05-27 17:02:59,2021-05-27 16:45:13,10282.0,194.0,5402.0,30667.0,12623.0,2021-05-05 11:22:28,1.10.3,101719.0,1667.0,100.0,Official Go implementation of the Ethereum protocol.,600.0,27,True,1.0,,,
2,EOS,blockchain,EOSIO/eos,['dPoS'],https://github.com/EOSIO/eos,https://github.com/EOSIO/eos,MIT,2017-04-05 17:09:53,2021-05-27 17:33:02,2021-05-20 04:18:44,3333.0,250.0,4704.0,11200.0,20547.0,2021-05-20 13:46:17,2.1.0,68578.0,1959.0,100.0,An open source smart contract platform.,278.0,27,True,1.0,,,
3,Dash,blockchain,dashpay/dash,['PoW'],https://github.com/dashpay/dash,https://github.com/dashpay/dash,MIT,2014-05-01 17:45:34,2021-05-25 15:32:00,2021-05-19 02:00:56,1068.0,75.0,501.0,1387.0,19070.0,2021-05-19 20:38:29,0.17.0.2,85427838.0,1067847.0,47.0,Dash - Reinventing Cryptocurrency.,505.0,27,True,1.0,,,
4,Bitcoin,blockchain,bitcoin/bitcoin,['PoW'],https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,MIT,2010-12-19 15:16:43,2021-05-27 18:06:41,2021-05-27 13:52:38,19941.0,585.0,5671.0,54187.0,29179.0,2021-05-03 01:33:04,0.21.1,,,35.0,Bitcoin Core integration/staging tree.,969.0,25,True,2.0,,,
5,Chainlink,blockchain,smartcontractkit/chainlink,[],https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,MIT,2017-11-20 19:50:46,2021-05-27 18:00:27,2021-05-27 15:41:27,498.0,32.0,171.0,1966.0,14722.0,2021-05-24 16:37:33,0.10.7,,,46.0,"node of the decentralized oracle network, bridging on and off-chain computation.",88.0,25,True,2.0,195.0,195.0,
6,Solana,blockchain,solana-labs/solana,['PoS'],https://github.com/solana-labs/solana,https://github.com/solana-labs/solana,,2018-02-14 04:26:27,2021-05-27 18:38:25,2021-05-27 18:37:34,440.0,501.0,2389.0,2146.0,14357.0,2021-05-25 19:25:06,1.6.10,103431.0,10343.0,100.0,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",158.0,24,False,2.0,,,
7,TRON,blockchain,tronprotocol/java-tron,['dPoS'],https://github.com/tronprotocol/java-tron,https://github.com/tronprotocol/java-tron,LGPL-3.0,2017-12-26 10:20:38,2021-05-27 08:44:44,2021-05-25 06:22:57,835.0,19.0,811.0,2684.0,15522.0,2021-05-21 16:07:02,GreatVoyage-v4.2.1,62898.0,1534.0,56.0,Java implementation of the Tron whitepaper.,219.0,23,True,3.0,,,
8,Binance chain,blockchain,binance-chain/bsc,['PoS'],https://github.com/binance-chain/bsc,https://github.com/binance-chain/bsc,LGPL-3.0,2020-05-21 06:44:14,2021-05-27 15:00:22,2021-05-24 08:28:11,163.0,86.0,97.0,474.0,12709.0,2021-05-10 16:47:42,1.0.7-ht.3,19198.0,1599.0,16.0,A Binance Smart Chain client based on the go-ethereum fork.,599.0,23,True,3.0,,,
9,Monero,blockchain,monero-project/monero,['PoW'],https://github.com/monero-project/monero,https://github.com/monero-project/monero,,2014-04-30 14:38:28,2021-05-27 17:00:33,2021-05-12 22:03:17,2038.0,461.0,1980.0,5892.0,10359.0,2021-04-11 13:20:56,0.17.2.0,28832.0,450.0,39.0,"Monero: the secure, private, untraceable cryptocurrency.",345.0,22,False,3.0,,,
