,name,category,github_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,updated_github_id,trending,gitlab_id
0,Dogecoin,blockchain,dogecoin/dogecoin,['PoW'],https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,MIT,2013-12-06 11:38:05,2021-07-22 09:02:46,2021-05-18 22:12:42,2067.0,169.0,795.0,12308.0,13537.0,2021-02-28 21:14:19,1.14.3,8235076.0,90495.0,36.0,very currency.,554.0,29,True,1.0,,,,,
1,Ethereum,blockchain,ethereum/go-ethereum,"['PoW', 'PoS']",https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,LGPL-3.0,2013-12-26 13:05:46,2021-07-22 14:53:24,2021-07-22 14:45:22,10612.0,216.0,5498.0,31513.0,12747.0,2021-07-22 14:53:24,1.10.6,95569.0,1541.0,100.0,Official Go implementation of the Ethereum protocol.,613.0,27,True,1.0,,,,,
2,EOS,blockchain,EOSIO/eos,['dPoS'],https://github.com/EOSIO/eos,https://github.com/EOSIO/eos,MIT,2017-04-05 17:09:53,2021-07-22 17:44:30,2021-07-19 23:22:42,3345.0,258.0,4714.0,11234.0,20554.0,2021-05-20 13:46:17,2.1.0,72639.0,1963.0,100.0,An open source smart contract platform.,281.0,27,True,1.0,,,,,
3,Dash,blockchain,dashpay/dash,['PoW'],https://github.com/dashpay/dash,https://github.com/dashpay/dash,MIT,2014-05-01 17:45:34,2021-07-22 16:17:13,2021-06-05 19:11:48,1086.0,64.0,517.0,1390.0,19080.0,2021-06-07 18:07:45,0.17.0.3,85605024.0,1043963.0,48.0,Dash - Reinventing Cryptocurrency.,505.0,27,True,1.0,,,,,
4,Bitcoin,blockchain,bitcoin/bitcoin,['PoW'],https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,MIT,2010-12-19 15:16:43,2021-07-22 18:01:11,2021-07-22 15:36:38,20399.0,592.0,5757.0,55750.0,29968.0,2021-05-03 01:33:04,0.21.1,,,35.0,Bitcoin Core integration/staging tree.,980.0,25,True,2.0,,,,,
5,Chainlink,blockchain,smartcontractkit/chainlink,[],https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,MIT,2017-11-20 19:50:46,2021-07-22 17:59:54,2021-07-22 17:49:54,541.0,41.0,178.0,2085.0,15292.0,2021-07-06 15:00:51,0.10.9,,,48.0,"node of the decentralized oracle network, bridging on and off-chain computation.",93.0,25,True,2.0,241.0,241.0,,,
6,Solana,blockchain,solana-labs/solana,['PoS'],https://github.com/solana-labs/solana,https://github.com/solana-labs/solana,,2018-02-14 04:26:27,2021-07-22 17:56:23,2021-07-22 17:18:51,549.0,489.0,2551.0,2777.0,15089.0,2021-07-17 07:12:30,1.6.18,131314.0,11937.0,100.0,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",188.0,24,False,2.0,,,,,
7,TRON,blockchain,tronprotocol/java-tron,['dPoS'],https://github.com/tronprotocol/java-tron,https://github.com/tronprotocol/java-tron,LGPL-3.0,2017-12-26 10:20:38,2021-07-22 11:24:16,2021-07-16 04:17:55,866.0,3.0,863.0,2739.0,15591.0,2021-06-25 09:01:45,GreatVoyage-v4.2.2.1,65828.0,1530.0,58.0,Java implementation of the Tron whitepaper.,222.0,23,True,3.0,,,,,
8,Binance chain,blockchain,binance-chain/bsc,['PoS'],https://github.com/binance-chain/bsc,https://github.com/binance-chain/bsc,LGPL-3.0,2020-05-21 06:44:14,2021-07-22 06:56:41,2021-06-10 07:42:55,216.0,111.0,124.0,577.0,12713.0,2021-05-10 09:27:08,1.1.0-beta,31576.0,2255.0,16.0,A Binance Smart Chain client based on the go-ethereum fork.,600.0,23,True,3.0,,,,,
9,Monero,blockchain,monero-project/monero,['PoW'],https://github.com/monero-project/monero,https://github.com/monero-project/monero,,2014-04-30 14:38:28,2021-07-22 07:28:46,2021-07-10 22:01:35,2136.0,463.0,1985.0,6040.0,10451.0,2021-04-11 13:20:56,0.17.2.0,29367.0,444.0,39.0,"Monero: the secure, private, untraceable cryptocurrency.",349.0,22,False,3.0,,,,,
10,Litecoin,blockchain,litecoin-project/litecoin,['PoW'],https://github.com/litecoin-project/litecoin,https://github.com/litecoin-project/litecoin,MIT,2012-06-13 04:18:26,2021-07-03 04:40:30,2021-06-10 08:07:14,2696.0,57.0,374.0,3903.0,19975.0,2020-06-11 19:52:19,0.18.1,,,12.0,Litecoin source tree.,756.0,22,True,3.0,,,,,
11,Zcash,blockchain,zcash/zcash,['PoW'],https://github.com/zcash/zcash,https://github.com/zcash/zcash,,2014-11-22 03:13:10,2021-07-19 11:48:41,2021-07-16 21:29:23,1171.0,895.0,2270.0,4426.0,15158.0,2021-06-10 02:08:47,4.4.1,222.0,4.0,48.0,Zcash - Internet Money.,574.0,21,False,3.0,,,,,
12,Polkadot,blockchain,paritytech/polkadot,['PoS'],https://github.com/paritytech/polkadot,https://github.com/paritytech/polkadot,GPL-3.0,2018-08-09 10:57:23,2021-07-22 18:02:14,2021-07-22 10:21:22,774.0,273.0,716.0,3855.0,2215.0,2021-07-07 18:18:46,0.9.8,32424.0,1045.0,93.0,Polkadot Node Implementation.,130.0,21,True,3.0,,,,,
13,Cardano,blockchain,input-output-hk/cardano-node,['PoS'],https://github.com/input-output-hk/cardano-node,https://github.com/input-output-hk/cardano-node,Apache-2.0,2019-05-23 20:12:22,2021-07-22 17:17:00,2021-07-22 12:18:51,306.0,237.0,622.0,1745.0,4689.0,2021-05-13 09:11:31,1.27.0,,,30.0,The core component that is used to participate in a Cardano decentralised blockchain.,87.0,20,True,3.0,,,,,
