,name,category,github_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,updated_github_id,trending,gitlab_id
0,Dogecoin,blockchain,dogecoin/dogecoin,['PoW'],https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,MIT,2013-12-06 11:38:05,2021-07-01 08:02:56,2021-05-18 22:12:42,2045.0,165.0,784.0,12232.0,13537.0,2021-02-28 21:14:19,1.14.3,8209010.0,90208.0,36.0,very currency.,553.0,29,True,1.0,,,,,
1,Ethereum,blockchain,ethereum/go-ethereum,"['PoW', 'PoS']",https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,LGPL-3.0,2013-12-26 13:05:46,2021-07-01 14:17:35,2021-07-01 12:01:19,10495.0,206.0,5464.0,31255.0,12711.0,2021-06-17 10:37:35,1.10.4,98167.0,1583.0,100.0,Official Go implementation of the Ethereum protocol.,612.0,27,True,1.0,,,,,
2,EOS,blockchain,EOSIO/eos,['dPoS'],https://github.com/EOSIO/eos,https://github.com/EOSIO/eos,MIT,2017-04-05 17:09:53,2021-07-01 17:49:05,2021-05-20 04:18:44,3344.0,251.0,4713.0,11234.0,20547.0,2021-05-20 13:46:17,2.1.0,71257.0,1925.0,100.0,An open source smart contract platform.,279.0,27,True,1.0,,,,,
3,Dash,blockchain,dashpay/dash,['PoW'],https://github.com/dashpay/dash,https://github.com/dashpay/dash,MIT,2014-05-01 17:45:34,2021-07-01 17:38:06,2021-06-05 19:11:48,1078.0,71.0,507.0,1390.0,19080.0,2021-06-07 18:07:45,0.17.0.3,85549468.0,1043286.0,48.0,Dash - Reinventing Cryptocurrency.,505.0,27,True,1.0,,,,,
4,Bitcoin,blockchain,bitcoin/bitcoin,['PoW'],https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,MIT,2010-12-19 15:16:43,2021-07-01 17:33:02,2021-07-01 17:15:09,20291.0,584.0,5729.0,55371.0,29743.0,2021-05-03 01:33:04,0.21.1,,,35.0,Bitcoin Core integration/staging tree.,976.0,25,True,2.0,,,,,
5,Chainlink,blockchain,smartcontractkit/chainlink,[],https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,MIT,2017-11-20 19:50:46,2021-07-01 17:57:49,2021-07-01 01:46:06,530.0,38.0,173.0,2058.0,15025.0,2021-06-21 19:15:15,0.10.8,,,47.0,"node of the decentralized oracle network, bridging on and off-chain computation.",92.0,25,True,2.0,224.0,224.0,,,
6,Solana,blockchain,solana-labs/solana,['PoS'],https://github.com/solana-labs/solana,https://github.com/solana-labs/solana,,2018-02-14 04:26:27,2021-07-01 18:07:22,2021-07-01 18:06:59,512.0,449.0,2536.0,2672.0,14801.0,2021-06-22 19:48:42,1.7.3,120861.0,10987.0,100.0,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",178.0,24,False,2.0,,,,,
7,TRON,blockchain,tronprotocol/java-tron,['dPoS'],https://github.com/tronprotocol/java-tron,https://github.com/tronprotocol/java-tron,LGPL-3.0,2017-12-26 10:20:38,2021-07-01 07:32:42,2021-07-01 07:29:25,857.0,4.0,852.0,2717.0,15591.0,2021-06-25 09:01:45,GreatVoyage-v4.2.2.1,64765.0,1506.0,58.0,Java implementation of the Tron whitepaper.,222.0,23,True,3.0,,,,,
8,Binance chain,blockchain,binance-chain/bsc,['PoS'],https://github.com/binance-chain/bsc,https://github.com/binance-chain/bsc,LGPL-3.0,2020-05-21 06:44:14,2021-06-28 09:16:51,2021-06-10 07:42:55,201.0,111.0,111.0,549.0,12713.0,2021-05-10 09:27:08,1.1.0-beta,27469.0,1962.0,16.0,A Binance Smart Chain client based on the go-ethereum fork.,599.0,23,True,3.0,,,,,
9,Monero,blockchain,monero-project/monero,['PoW'],https://github.com/monero-project/monero,https://github.com/monero-project/monero,,2014-04-30 14:38:28,2021-07-01 17:47:49,2021-06-24 19:35:30,2105.0,462.0,1982.0,6001.0,10439.0,2021-04-11 13:20:56,0.17.2.0,29096.0,440.0,39.0,"Monero: the secure, private, untraceable cryptocurrency.",347.0,22,False,3.0,,,,,
10,Litecoin,blockchain,litecoin-project/litecoin,['PoW'],https://github.com/litecoin-project/litecoin,https://github.com/litecoin-project/litecoin,MIT,2012-06-13 04:18:26,2021-06-10 08:07:14,2021-06-10 08:07:14,2680.0,57.0,374.0,3898.0,19975.0,2020-06-11 19:52:19,0.18.1,,,12.0,Litecoin source tree.,754.0,22,True,3.0,,,,,
11,Zcash,blockchain,zcash/zcash,['PoW'],https://github.com/zcash/zcash,https://github.com/zcash/zcash,,2014-11-22 03:13:10,2021-07-01 16:56:12,2021-07-01 12:37:17,1171.0,891.0,2267.0,4420.0,15151.0,2021-06-10 02:08:47,4.4.1,222.0,4.0,48.0,Zcash - Internet Money.,573.0,21,False,3.0,,,,,
12,Polkadot,blockchain,paritytech/polkadot,['PoS'],https://github.com/paritytech/polkadot,https://github.com/paritytech/polkadot,GPL-3.0,2018-08-09 10:57:23,2021-07-01 17:46:59,2021-07-01 16:21:51,728.0,255.0,687.0,3729.0,2148.0,2021-06-25 16:26:10,0.9.7,30632.0,988.0,92.0,Polkadot Node Implementation.,127.0,21,True,3.0,,,,,
13,Cardano,blockchain,input-output-hk/cardano-node,['PoS'],https://github.com/input-output-hk/cardano-node,https://github.com/input-output-hk/cardano-node,Apache-2.0,2019-05-23 20:12:22,2021-07-01 18:07:27,2021-06-30 22:47:45,296.0,228.0,615.0,1680.0,4600.0,2021-05-13 09:11:31,1.27.0,,,30.0,The core component that is used to participate in a Cardano decentralised blockchain.,84.0,20,True,3.0,,,,,
14,Stellar,blockchain,stellar/stellar-core,['PoS'],https://github.com/stellar/stellar-core,https://github.com/stellar/stellar-core,,2014-11-24 17:11:12,2021-07-01 05:04:36,2021-06-30 23:20:27,806.0,201.0,1047.0,2753.0,7094.0,2021-06-29 22:05:42,17.2.0,,,100.0,stellar-core is the reference implementation for the peer to peer agent that manages the Stellar network.,94.0,18,False,3.0,,,,,
15,Pancake swap,smart-contract,pancakeswap/pancake-swap-core,[],https://github.com/pancakeswap/pancake-swap-core,https://github.com/pancakeswap/pancake-swap-core,GPL-3.0,2020-09-14 06:01:21,2021-06-12 06:59:52,2020-09-27 07:36:36,354.0,8.0,4.0,131.0,259.0,,,,,,Core smart contracts.,9.0,16,True,1.0,487.0,487.0,,,
