,name,category,github_id,labels,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,projectrank_placing,dependent_project_count,github_dependent_project_count,updated_github_id,trending,gitlab_id
0,Dogecoin,blockchain,dogecoin/dogecoin,['PoW'],https://github.com/dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,MIT,2013-12-06 11:38:05,2021-06-10 04:33:58,2021-05-18 22:12:42,1986.0,153.0,774.0,12020.0,13537.0,2021-02-28 21:14:19,1.14.3,8164233.0,90713.0,36.0,very currency.,553.0,29,True,1.0,,,,,
1,Ethereum,blockchain,ethereum/go-ethereum,"['PoW', 'PoS']",https://github.com/ethereum/go-ethereum,https://github.com/ethereum/go-ethereum,LGPL-3.0,2013-12-26 13:05:46,2021-06-10 18:16:01,2021-06-10 07:53:23,10377.0,199.0,5426.0,30974.0,12646.0,2021-05-05 11:22:28,1.10.3,101733.0,1640.0,100.0,Official Go implementation of the Ethereum protocol.,602.0,27,True,1.0,,,,,
2,EOS,blockchain,EOSIO/eos,['dPoS'],https://github.com/EOSIO/eos,https://github.com/EOSIO/eos,MIT,2017-04-05 17:09:53,2021-06-10 17:08:45,2021-05-20 04:18:44,3340.0,252.0,4707.0,11219.0,20547.0,2021-05-20 13:46:17,2.1.0,69836.0,1939.0,100.0,An open source smart contract platform.,278.0,27,True,1.0,,,,,
3,Bitcoin,blockchain,bitcoin/bitcoin,['PoW'],https://github.com/bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,MIT,2010-12-19 15:16:43,2021-06-10 15:58:18,2021-06-10 14:58:45,20099.0,585.0,5695.0,54619.0,29436.0,2021-05-03 01:33:04,0.21.1,,,35.0,Bitcoin Core integration/staging tree.,973.0,25,True,2.0,,,,,
4,Chainlink,blockchain,smartcontractkit/chainlink,[],https://github.com/smartcontractkit/chainlink,https://github.com/smartcontractkit/chainlink,MIT,2017-11-20 19:50:46,2021-06-10 18:06:11,2021-06-10 18:06:10,516.0,35.0,172.0,2011.0,14722.0,2021-05-24 16:37:33,0.10.7,,,46.0,"node of the decentralized oracle network, bridging on and off-chain computation.",89.0,25,True,2.0,212.0,212.0,,,
5,Solana,blockchain,solana-labs/solana,['PoS'],https://github.com/solana-labs/solana,https://github.com/solana-labs/solana,,2018-02-14 04:26:27,2021-06-10 18:24:34,2021-06-10 18:24:23,474.0,482.0,2454.0,2290.0,14521.0,2021-06-08 08:15:08,1.7.1,110734.0,11073.0,100.0,"Web-Scale Blockchain for fast, secure, scalable, decentralized apps and marketplaces.",169.0,24,False,2.0,,,,,
6,TRON,blockchain,tronprotocol/java-tron,['dPoS'],https://github.com/tronprotocol/java-tron,https://github.com/tronprotocol/java-tron,LGPL-3.0,2017-12-26 10:20:38,2021-06-10 09:25:19,2021-06-10 09:25:19,845.0,6.0,828.0,2703.0,15522.0,2021-05-21 16:07:02,GreatVoyage-v4.2.1,63549.0,1513.0,56.0,Java implementation of the Tron whitepaper.,222.0,23,True,3.0,,,,,
7,Binance chain,blockchain,binance-chain/bsc,['PoS'],https://github.com/binance-chain/bsc,https://github.com/binance-chain/bsc,LGPL-3.0,2020-05-21 06:44:14,2021-06-10 11:32:46,2021-06-10 07:42:55,183.0,98.0,102.0,516.0,12713.0,2021-05-10 16:47:42,1.0.7-ht.3,23416.0,1801.0,16.0,A Binance Smart Chain client based on the go-ethereum fork.,599.0,23,True,3.0,,,,,
8,Monero,blockchain,monero-project/monero,['PoW'],https://github.com/monero-project/monero,https://github.com/monero-project/monero,,2014-04-30 14:38:28,2021-06-10 17:01:06,2021-06-10 17:00:54,2073.0,461.0,1980.0,5941.0,10399.0,2021-04-11 13:20:56,0.17.2.0,29000.0,446.0,39.0,"Monero: the secure, private, untraceable cryptocurrency.",346.0,22,False,3.0,,,,,
9,Litecoin,blockchain,litecoin-project/litecoin,['PoW'],https://github.com/litecoin-project/litecoin,https://github.com/litecoin-project/litecoin,MIT,2012-06-13 04:18:26,2021-06-10 08:07:14,2021-06-10 08:07:14,2654.0,57.0,373.0,3881.0,19975.0,2020-06-11 19:52:19,0.18.1,,,12.0,Litecoin source tree.,754.0,22,True,3.0,,,,,
10,Zcash,blockchain,zcash/zcash,['PoW'],https://github.com/zcash/zcash,https://github.com/zcash/zcash,,2014-11-22 03:13:10,2021-06-10 10:36:41,2021-06-10 00:48:18,1168.0,894.0,2255.0,4415.0,15034.0,2021-06-10 02:08:47,4.4.1,222.0,4.0,48.0,Zcash - Internet Money.,573.0,21,False,3.0,,,,,
11,Polkadot,blockchain,paritytech/polkadot,['PoS'],https://github.com/paritytech/polkadot,https://github.com/paritytech/polkadot,GPL-3.0,2018-08-09 10:57:23,2021-06-10 18:03:30,2021-06-10 18:03:30,702.0,244.0,632.0,3620.0,2054.0,2021-05-26 14:45:15,0.9.3,26641.0,888.0,89.0,Polkadot Node Implementation.,126.0,21,True,3.0,,,,,
